SampleID ,SSID,BSSID,level,frequency,Capabilities,describeContents
1,tudelft-dastud,1c:aa:07:7b:28:0b,-43,5220,[WPA2-EAP-CCMP][ESS],0

1,eduroam,1c:aa:07:7b:28:0f,-42,5220,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

1,Conferentie-TUD,1c:aa:07:7b:28:09,-42,5220,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

1,Conferentie-TUD,1c:aa:07:7b:37:d9,-86,5680,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

1,TUvisitor,1c:aa:07:7b:28:0c,-42,5220,[ESS],0

1,Conferentie-TUD,1c:aa:07:7b:28:06,-45,2412,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

1,Conferentie-TUD,1c:aa:07:7b:37:d6,-67,2437,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

1,eduroam,1c:aa:07:7b:37:df,-79,5680,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

1,tudelft-dastud,1c:aa:07:7b:37:db,-80,5680,[WPA2-EAP-CCMP][ESS],0

1,tudelft-dastud,1c:aa:07:7b:37:d4,-66,2437,[WPA2-EAP-CCMP][ESS],0

1,TUvisitor,1c:aa:07:7b:37:dc,-87,5680,[ESS],0

1,tudelft-dastud,1c:aa:07:7b:28:04,-47,2412,[WPA2-EAP-CCMP][ESS],0

1,eduroam,1c:aa:07:7b:37:d0,-68,2437,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

1,Conferentie-TUD,24:01:c7:76:27:36,-85,2462,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

1,TUvisitor,24:01:c7:76:27:33,-82,2462,[ESS],0

1,eduroam,1c:aa:07:7b:28:00,-45,2412,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

1,tudelft-dastud,24:01:c7:76:27:34,-87,2462,[WPA2-EAP-CCMP][ESS],0

1,TUvisitor,1c:aa:07:7b:37:d3,-67,2437,[ESS],0

2,tudelft-dastud,1c:aa:07:7b:28:0b,-43,5220,[WPA2-EAP-CCMP][ESS],0

2,eduroam,1c:aa:07:7b:28:0f,-42,5220,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

2,Conferentie-TUD,1c:aa:07:7b:28:09,-42,5220,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

2,Conferentie-TUD,1c:aa:07:7b:37:d9,-86,5680,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

2,TUvisitor,1c:aa:07:7b:28:0c,-42,5220,[ESS],0

2,Conferentie-TUD,1c:aa:07:7b:28:06,-45,2412,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

