SampleID ,SSID,BSSID,level,frequency,Capabilities,describeContents
557,Conferentie-TUD,00:1b:90:76:d3:f9,-67,5680,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

557,tudelft-dastud,00:1b:90:76:d3:f4,-74,2412,[WPA2-EAP-CCMP][ESS],0

557,TUvisitor,00:1b:90:76:d3:fc,-67,5680,[ESS],0

557,Conferentie-TUD,1c:aa:07:7b:28:09,-64,5220,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

557,tudelft-dastud,1c:aa:07:7b:28:0b,-64,5220,[WPA2-EAP-CCMP][ESS],0

557,eduroam,1c:aa:07:7b:28:0f,-64,5220,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

557,TUvisitor,1c:aa:07:7b:28:0c,-64,5220,[ESS],0

557,tudelft-dastud,00:1b:90:76:d3:fb,-67,5680,[WPA2-EAP-CCMP][ESS],0

557,eduroam,00:1b:90:76:d3:ff,-66,5680,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

557,Conferentie-TUD,1c:aa:07:7b:37:d6,-68,2437,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

557,Conferentie-TUD,1c:aa:07:7b:28:06,-55,2412,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

557,EnGenius1,00:02:6f:a5:01:03,-83,5180,[ESS],0

557,tudelft-dastud,1c:aa:07:7b:28:04,-58,2412,[WPA2-EAP-CCMP][ESS],0

557,Conferentie-TUD,00:1b:90:76:d3:f6,-74,2412,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

557,eduroam,1c:aa:07:7b:28:00,-46,2412,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

557,TUvisitor,1c:aa:07:7b:37:d3,-69,2437,[ESS],0

557,KLINUX,00:0e:a6:27:4d:fb,-89,2417,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],0

557,mfold-linksys,00:25:9c:ca:87:ee,-90,2447,[WPA2-PSK-CCMP][WPS][ESS],0

557,TUvisitor,1c:aa:07:7b:28:03,-46,2412,[ESS],0

557,TUvisitor,00:1b:90:76:d3:f3,-74,2412,[ESS],0

557,TUvisitor,00:1b:90:76:ce:13,-82,2462,[ESS],0

557,eduroam,00:1b:90:76:d3:f0,-74,2412,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

557,SLDE-™-2,5c:96:9d:65:76:8d,-91,2462,[WPA2-PSK-CCMP][ESS],0

557,tudelft-dastud,1c:aa:07:7b:37:db,-86,5680,[WPA2-EAP-CCMP][ESS],0

557,Mywifi,14:d6:4d:2e:88:fa,-92,2472,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],0

557,,00:02:6f:a3:b1:cd,-85,5180,[ESS],0

557,eduroam,1c:aa:07:7b:37:d0,-72,2437,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

557,tudelft-dastud,1c:aa:07:7b:37:d4,-73,2437,[WPA2-EAP-CCMP][ESS],0

557,eduroam,00:1b:90:76:ce:10,-82,2462,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

557,tudelft-dastud,00:1b:90:76:ce:14,-82,2462,[WPA2-EAP-CCMP][ESS],0

557,,00:19:aa:76:70:00,-90,2412,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],0

