SampleID ,SSID,BSSID,level,frequency,Capabilities,describeContents
1,tudelft-dastud,1c:aa:07:7b:28:0b,-47,5220,[WPA2-EAP-CCMP][ESS],0

1,eduroam,1c:aa:07:7b:28:0f,-46,5220,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

1,Conferentie-TUD,1c:aa:07:7b:28:09,-47,5220,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

1,Conferentie-TUD,1c:aa:07:7b:37:d9,-77,5680,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

1,TUvisitor,1c:aa:07:7b:28:0c,-47,5220,[ESS],0

1,Conferentie-TUD,1c:aa:07:7b:28:06,-42,2412,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

1,Conferentie-TUD,1c:aa:07:7b:37:d6,-73,2437,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

1,TUvisitor,1c:aa:07:7b:37:dc,-77,5680,[ESS],0

1,tudelft-dastud,1c:aa:07:7b:28:04,-43,2412,[WPA2-EAP-CCMP][ESS],0

1,tudelft-dastud,1c:aa:07:7b:37:d4,-77,2437,[WPA2-EAP-CCMP][ESS],0

1,eduroam,1c:aa:07:7b:37:d0,-74,2437,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

1,TUvisitor,1c:aa:07:7b:28:03,-50,2412,[ESS],0

1,eduroam,1c:aa:07:7b:28:00,-42,2412,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

1,eduroam,1c:aa:07:7b:37:df,-76,5680,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

1,tudelft-dastud,1c:aa:07:7b:37:db,-77,5680,[WPA2-EAP-CCMP][ESS],0

1,KLINUX,00:0e:a6:27:4d:fb,-88,2417,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],0

1,TUvisitor,1c:aa:07:7b:37:d3,-73,2437,[ESS],0

2,tudelft-dastud,1c:aa:07:7b:28:0b,-47,5220,[WPA2-EAP-CCMP][ESS],0

2,eduroam,1c:aa:07:7b:28:0f,-46,5220,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

2,Conferentie-TUD,1c:aa:07:7b:28:09,-47,5220,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

2,Conferentie-TUD,1c:aa:07:7b:37:d9,-77,5680,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

2,TUvisitor,1c:aa:07:7b:28:0c,-47,5220,[ESS],0

2,Conferentie-TUD,1c:aa:07:7b:28:06,-42,2412,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

2,Conferentie-TUD,1c:aa:07:7b:37:d6,-73,2437,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

2,TUvisitor,1c:aa:07:7b:37:dc,-77,5680,[ESS],0

2,tudelft-dastud,1c:aa:07:7b:28:04,-43,2412,[WPA2-EAP-CCMP][ESS],0

2,tudelft-dastud,1c:aa:07:7b:37:d4,-77,2437,[WPA2-EAP-CCMP][ESS],0

2,eduroam,1c:aa:07:7b:37:d0,-74,2437,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

2,TUvisitor,1c:aa:07:7b:28:03,-50,2412,[ESS],0

2,eduroam,1c:aa:07:7b:28:00,-42,2412,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

2,eduroam,1c:aa:07:7b:37:df,-76,5680,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

2,tudelft-dastud,1c:aa:07:7b:37:db,-77,5680,[WPA2-EAP-CCMP][ESS],0

2,KLINUX,00:0e:a6:27:4d:fb,-88,2417,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],0

2,TUvisitor,1c:aa:07:7b:37:d3,-73,2437,[ESS],0

3,tudelft-dastud,1c:aa:07:7b:28:0b,-47,5220,[WPA2-EAP-CCMP][ESS],0

3,eduroam,1c:aa:07:7b:28:0f,-46,5220,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

3,Conferentie-TUD,1c:aa:07:7b:28:09,-47,5220,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

3,Conferentie-TUD,1c:aa:07:7b:37:d9,-77,5680,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

3,TUvisitor,1c:aa:07:7b:28:0c,-47,5220,[ESS],0

3,Conferentie-TUD,1c:aa:07:7b:28:06,-42,2412,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

3,Conferentie-TUD,1c:aa:07:7b:37:d6,-73,2437,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

3,TUvisitor,1c:aa:07:7b:37:dc,-77,5680,[ESS],0

3,tudelft-dastud,1c:aa:07:7b:28:04,-43,2412,[WPA2-EAP-CCMP][ESS],0

3,tudelft-dastud,1c:aa:07:7b:37:d4,-77,2437,[WPA2-EAP-CCMP][ESS],0

3,eduroam,1c:aa:07:7b:37:d0,-74,2437,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

3,TUvisitor,1c:aa:07:7b:28:03,-50,2412,[ESS],0

3,eduroam,1c:aa:07:7b:28:00,-42,2412,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

3,eduroam,1c:aa:07:7b:37:df,-76,5680,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

3,tudelft-dastud,1c:aa:07:7b:37:db,-77,5680,[WPA2-EAP-CCMP][ESS],0

3,KLINUX,00:0e:a6:27:4d:fb,-88,2417,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],0

3,TUvisitor,1c:aa:07:7b:37:d3,-73,2437,[ESS],0

4,tudelft-dastud,1c:aa:07:7b:28:0b,-47,5220,[WPA2-EAP-CCMP][ESS],0

4,eduroam,1c:aa:07:7b:28:0f,-46,5220,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

4,Conferentie-TUD,1c:aa:07:7b:28:09,-47,5220,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

4,Conferentie-TUD,1c:aa:07:7b:37:d9,-77,5680,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

4,TUvisitor,1c:aa:07:7b:28:0c,-47,5220,[ESS],0

4,Conferentie-TUD,1c:aa:07:7b:28:06,-42,2412,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

4,Conferentie-TUD,1c:aa:07:7b:37:d6,-73,2437,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

4,TUvisitor,1c:aa:07:7b:37:dc,-77,5680,[ESS],0

4,tudelft-dastud,1c:aa:07:7b:28:04,-43,2412,[WPA2-EAP-CCMP][ESS],0

