SampleID ,SSID,BSSID,level,frequency,Capabilities,describeContents
279,Conferentie-TUD,00:1b:90:76:d3:f9,-70,5680,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

279,Conferentie-TUD,00:1b:90:76:d3:f6,-73,2412,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

279,tudelft-dastud,00:1b:90:76:d3:f4,-73,2412,[WPA2-EAP-CCMP][ESS],0

279,TUvisitor,00:1b:90:76:d3:fc,-70,5680,[ESS],0

279,TUvisitor,00:1b:90:76:d3:f3,-73,2412,[ESS],0

279,Conferentie-TUD,1c:aa:07:7b:28:09,-57,5220,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

279,tudelft-dastud,1c:aa:07:7b:28:0b,-57,5220,[WPA2-EAP-CCMP][ESS],0

279,eduroam,1c:aa:07:7b:28:0f,-57,5220,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

279,TUvisitor,1c:aa:07:7b:28:0c,-57,5220,[ESS],0

279,tudelft-dastud,00:1b:90:76:ce:14,-83,2462,[WPA2-EAP-CCMP][ESS],0

279,tudelft-dastud,00:1b:90:76:d3:fb,-70,5680,[WPA2-EAP-CCMP][ESS],0

279,mfold-dlink,00:26:5a:a9:99:46,-88,2447,[WPA2-PSK-CCMP][WPS][ESS],0

279,eduroam,00:1b:90:76:d3:ff,-70,5680,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

279,Conferentie-TUD,1c:aa:07:7b:37:d6,-70,2437,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

279,Conferentie-TUD,1c:aa:07:7b:28:06,-46,2412,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

279,eduroam,00:1b:90:76:d3:f0,-73,2412,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

279,eduroam,00:1b:90:76:ce:10,-83,2462,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

279,Conferentie-TUD,00:1b:90:76:ce:16,-83,2462,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

279,KLINUX,00:0e:a6:27:4d:fb,-92,2417,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],0

279,EnGenius1,00:02:6f:a5:01:03,-88,5180,[ESS],0

279,tudelft-dastud,1c:aa:07:7b:28:04,-49,2412,[WPA2-EAP-CCMP][ESS],0

279,eduroam,1c:aa:07:7b:37:d0,-72,2437,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

279,Conferentie-TUD,1c:aa:07:7b:37:d9,-85,5680,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

279,94EC1AD878,00:15:70:ad:99:c8,-90,2437,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

279,324AF938DB,00:15:70:ad:99:c9,-91,2437,[WPA2-PSK-CCMP][ESS],0

279,5F9949EB17,00:15:70:ad:99:cb,-91,2437,[WPA-PSK-TKIP][WPA2-PSK-CCMP+TKIP][ESS],0

279,TUvisitor,1c:aa:07:7b:37:d3,-72,2437,[ESS],0

279,eduroam,1c:aa:07:7b:28:00,-62,2412,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

