SampleID ,SSID,BSSID,level,frequency,Capabilities,describeContents
140,eduroam,1c:aa:07:7b:28:0f,-64,5220,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

140,Conferentie-TUD,1c:aa:07:7b:28:09,-65,5220,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

140,tudelft-dastud,1c:aa:07:7b:28:0b,-65,5220,[WPA2-EAP-CCMP][ESS],0

140,Conferentie-TUD,1c:aa:07:7b:28:06,-65,2412,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

140,Conferentie-TUD,00:1b:90:76:ce:16,-68,2462,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

140,eduroam,00:1b:90:76:ce:10,-68,2462,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

140,tudelft-dastud,00:1b:90:76:ce:14,-68,2462,[WPA2-EAP-CCMP][ESS],0

140,tudelft-dastud,00:1b:90:76:ce:1b,-74,5580,[WPA2-EAP-CCMP][ESS],0

140,Conferentie-TUD,00:1b:90:76:ce:19,-74,5580,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

140,eduroam,00:1b:90:76:ce:1f,-74,5580,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

140,TUvisitor,1c:aa:07:7b:28:0c,-65,5220,[ESS],0

140,TUvisitor,00:1b:90:76:ce:13,-69,2462,[ESS],0

140,TUvisitor,00:1b:90:76:ce:1c,-74,5580,[ESS],0

140,TUvisitor,1c:aa:07:7b:37:d3,-75,2437,[ESS],0

140,tudelft-dastud,1c:aa:07:7b:37:db,-83,5680,[WPA2-EAP-CCMP][ESS],0

140,Conferentie-TUD,1c:aa:07:7b:37:d9,-84,5680,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

140,mfold-linksys,00:25:9c:ca:87:ee,-89,2447,[WPA2-PSK-CCMP][WPS][ESS],0

140,Conferentie-TUD,1c:aa:07:7b:37:d6,-75,2437,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

140,eduroam,1c:aa:07:7b:37:df,-84,5680,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

140,TUvisitor,1c:aa:07:7b:37:dc,-86,5680,[ESS],0

140,tudelft-dastud,1c:aa:07:7b:37:d4,-76,2437,[WPA2-EAP-CCMP][ESS],0

140,tudelft-dastud,00:1b:90:76:d3:fb,-85,5680,[WPA2-EAP-CCMP][ESS],0

140,Conferentie-TUD,00:1b:90:76:d3:f9,-86,5680,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

140,C150BRS4,00:22:f7:20:a1:98,-93,2412,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],0

140,TUvisitor,00:1b:90:76:d3:fc,-85,5680,[ESS],0

141,eduroam,1c:aa:07:7b:28:0f,-66,5220,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

141,Conferentie-TUD,1c:aa:07:7b:28:09,-66,5220,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

141,tudelft-dastud,1c:aa:07:7b:28:0b,-66,5220,[WPA2-EAP-CCMP][ESS],0

141,Conferentie-TUD,1c:aa:07:7b:28:06,-62,2412,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

141,Conferentie-TUD,00:1b:90:76:ce:16,-70,2462,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

141,eduroam,00:1b:90:76:ce:10,-70,2462,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

141,tudelft-dastud,00:1b:90:76:ce:14,-70,2462,[WPA2-EAP-CCMP][ESS],0

141,tudelft-dastud,00:1b:90:76:ce:1b,-70,5580,[WPA2-EAP-CCMP][ESS],0

141,Conferentie-TUD,00:1b:90:76:ce:19,-70,5580,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

