rssi,-86,-85,-84,-83,-82,-81,-80,-79,-78,-77,-76,-75,-74,-73,-72,-71,-70,-69,-68,-67,-66,-65,-64,-63,-62,-61,-60,-59,-58,-57,-56,-55,-54,-53,-52,-51,-50,-49,-48,-47,-46,-45,-44,-43,-42,-41,-40,-39,-38
c1 ,0,0,0,0.01459854,0.01459854,0.05839416,0.0729927,0.08759124,0.05839416,0.11678832,0.11678832,0.02189781,0.02919708,0.11678832,0.0729927,0.10218978,0.02919708,0.04379562,0,0.04379562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c2,0,0,0.01438849,0,0.021582734,0.05755396,0.05755396,0.10071942,0.043165468,0.1438849,0.086330935,0.086330935,0.11510792,0.07194245,0.01438849,0.07194245,0.043165468,0.01438849,0.043165468,0,0.01438849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c3,0,0,0.007434944,0,0.029739777,0.014869888,0.03717472,0.022304833,0.05204461,0.029739777,0.09665427,0.05204461,0.048327137,0.08921933,0.05762082,0.03717472,0.05204461,0.09665427,0.111524165,0.022304833,0.039033458,0.014869888,0.007434944,0.05204461,0.014869888,0.007434944,0.007434944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c4,0,0,0.014440433,0.014440433,0,0,0,0.054151624,0,0.0433213,0.057761732,0.057761732,0.0433213,0.079422385,0.025270758,0.11191336,0.11191336,0.0433213,0.09386282,0.054151624,0.07220217,0.0433213,0.028880866,0.014440433,0.014440433,0.014440433,0.0072202166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c5,0,0,0.014234875,0.014234875,0,0,0,0.024911031,0,0.010676157,0.014234875,0,0,0.049822062,0.014234875,0.03914591,0.049822062,0.0035587188,0.042704627,0.053380784,0.071174376,0.042704627,0.014234875,0.0569395,0.0569395,0.042704627,0.02846975,0.071174376,0.0569395,0.014234875,0.042704627,0.042704627,0.02846975,0.02846975,0.014234875,0.014234875,0.02846975,0.014234875,0,0,0,0,0,0,0,0,0,0,0
c6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02846975,0.02846975,0.042704627,0.042704627,0.014234875,0.014234875,0.042704627,0.0071174377,0.099644125,0.014234875,0.0569395,0.042704627,0.099644125,0.0569395,0.014234875,0.02846975,0.085409254,0.081850536,0.0569395,0.014234875,0.0569395,0.02846975,0.014234875,0.02846975
c7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014234875,0,0,0,0,0,0.014234875,0.014234875,0.042704627,0.02846975,0,0.02846975,0.071174376,0.071174376,0.085409254,0.071174376,0.099644125,0.017793594,0.113879,0.042704627,0,0.071174376,0.0569395,0.0569395,0.0569395,0.014234875,0.014234875,0,0,0.014234875
c8,0,0,0,0,0,0,0,0,0,0,0.014492754,0,0.014492754,0.014492754,0.014492754,0.014492754,0.08695652,0.014492754,0.028985508,0.028985508,0.028985508,0.11594203,0.014492754,0.04347826,0.10144927,0.13043478,0.13043478,0.057971016,0.014492754,0.072463766,0,0,0.04347826,0.014492754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c9,0,0,0,0,0,0,0,0,0,0,0.014652015,0.043956045,0.043956045,0.07326008,0.102564104,0.05860806,0.24908425,0.08791209,0.07326008,0.05860806,0.043956045,0.07326008,0.02930403,0.02930403,0.014652015,0.0036630037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c10,0,0,0,0,0,0,0.02930403,0.02930403,0.014652015,0.09157509,0.02930403,0.02930403,0.05860806,0.07326008,0.102564104,0.13186814,0.102564104,0.05860806,0.043956045,0.08791209,0.07326008,0.02930403,0,0,0,0,0.014652015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
