SampleID ,SSID,BSSID,level,frequency,Capabilities,describeContents
284,tudelft-dastud,00:1b:90:76:d3:f4,-52,2412,[WPA2-EAP-CCMP][ESS],0

284,eduroam,00:1b:90:76:d3:f0,-52,2412,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

284,P2P-Next,5c:d9:98:e3:e6:c4,-88,2437,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],0

284,SLDE-™-2,5c:96:9d:65:76:8d,-81,2462,[WPA2-PSK-CCMP][ESS],0

284,TUvisitor,00:1b:90:76:d3:fc,-62,5680,[ESS],0

284,TUvisitor,00:1b:90:76:d3:f3,-52,2412,[ESS],0

284,SLDE-™-2 5GHz,5c:96:9d:65:76:8e,-83,5500,[WPA2-PSK-CCMP][ESS],0

284,mfold-dlink,00:26:5a:a9:99:46,-58,2447,[WPA2-PSK-CCMP][WPS][ESS],0

284,sape,20:c9:d0:18:43:f3,-82,2412,[WPA2-PSK-CCMP][ESS],0

284,sape,20:c9:d0:18:43:f4,-85,5540,[WPA2-PSK-CCMP][ESS],0

284,C150BRS4,00:22:f7:20:a1:98,-71,2412,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],0

284,mfold-linksys,00:25:9c:ca:87:ee,-66,2447,[WPA2-PSK-CCMP][WPS][ESS],0

284,Conferentie-TUD,1c:aa:07:7b:28:09,-82,5220,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

284,TUvisitor,1c:aa:07:7b:28:0c,-83,5220,[ESS],0

284,P2PROSHANGUPTA-PC,78:e4:00:dc:ca:0e,-89,2462,[WPA2-PSK-CCMP][ESS],0

284,tudelft-dastud,1c:aa:07:7b:28:04,-80,2412,[WPA2-EAP-CCMP][ESS],0

284,Conferentie-TUD,b8:be:bf:b7:7c:46,-84,2462,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

284,tudelft-dastud,b8:be:bf:b7:7c:44,-84,2462,[WPA2-EAP-CCMP][ESS],0

284,SitecomC2D19C,00:0c:f6:c2:d1:9c,-91,2462,[WPA2-PSK-CCMP][WPS][ESS],0

284,TarValon,58:6d:8f:cb:2d:e0,-91,2412,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],0

284,7inova_003138,04:84:8a:00:31:38,-93,2437,[WPS][ESS],0

285,Conferentie-TUD,00:1b:90:76:d3:f9,-62,5680,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

285,tudelft-dastud,00:1b:90:76:d3:fb,-62,5680,[WPA2-EAP-CCMP][ESS],0

285,eduroam,00:1b:90:76:d3:ff,-62,5680,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

285,Conferentie-TUD,00:1b:90:76:d3:f6,-51,2412,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

285,tudelft-dastud,00:1b:90:76:d3:f4,-52,2412,[WPA2-EAP-CCMP][ESS],0

285,eduroam,00:1b:90:76:d3:f0,-52,2412,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

285,P2P-Next,5c:d9:98:e3:e6:c4,-88,2437,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],0

285,SLDE-™-2,5c:96:9d:65:76:8d,-81,2462,[WPA2-PSK-CCMP][ESS],0

285,TUvisitor,00:1b:90:76:d3:fc,-62,5680,[ESS],0

285,TUvisitor,00:1b:90:76:d3:f3,-52,2412,[ESS],0

285,SLDE-™-2 5GHz,5c:96:9d:65:76:8e,-83,5500,[WPA2-PSK-CCMP][ESS],0

285,mfold-dlink,00:26:5a:a9:99:46,-58,2447,[WPA2-PSK-CCMP][WPS][ESS],0

285,sape,20:c9:d0:18:43:f3,-82,2412,[WPA2-PSK-CCMP][ESS],0

285,sape,20:c9:d0:18:43:f4,-85,5540,[WPA2-PSK-CCMP][ESS],0

285,C150BRS4,00:22:f7:20:a1:98,-71,2412,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],0

285,mfold-linksys,00:25:9c:ca:87:ee,-66,2447,[WPA2-PSK-CCMP][WPS][ESS],0

285,Conferentie-TUD,1c:aa:07:7b:28:09,-82,5220,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

285,TUvisitor,1c:aa:07:7b:28:0c,-83,5220,[ESS],0

285,P2PROSHANGUPTA-PC,78:e4:00:dc:ca:0e,-89,2462,[WPA2-PSK-CCMP][ESS],0

285,tudelft-dastud,1c:aa:07:7b:28:04,-80,2412,[WPA2-EAP-CCMP][ESS],0

285,Conferentie-TUD,b8:be:bf:b7:7c:46,-84,2462,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

285,tudelft-dastud,b8:be:bf:b7:7c:44,-84,2462,[WPA2-EAP-CCMP][ESS],0

285,SitecomC2D19C,00:0c:f6:c2:d1:9c,-91,2462,[WPA2-PSK-CCMP][WPS][ESS],0

285,TarValon,58:6d:8f:cb:2d:e0,-91,2412,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],0

285,7inova_003138,04:84:8a:00:31:38,-93,2437,[WPS][ESS],0

286,Conferentie-TUD,00:1b:90:76:d3:f9,-51,5680,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

286,tudelft-dastud,00:1b:90:76:d3:fb,-51,5680,[WPA2-EAP-CCMP][ESS],0

286,eduroam,00:1b:90:76:d3:ff,-51,5680,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

286,Conferentie-TUD,00:1b:90:76:d3:f6,-66,2412,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

286,tudelft-dastud,00:1b:90:76:d3:f4,-66,2412,[WPA2-EAP-CCMP][ESS],0

286,eduroam,00:1b:90:76:d3:f0,-60,2412,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

286,P2P-Next,5c:d9:98:e3:e6:c4,-89,2437,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],0

286,SLDE-™-2,5c:96:9d:65:76:8d,-83,2462,[WPA2-PSK-CCMP][ESS],0

286,TUvisitor,00:1b:90:76:d3:fc,-51,5680,[ESS],0

286,TUvisitor,00:1b:90:76:d3:f3,-66,2412,[ESS],0

286,SLDE-™-2 5GHz,5c:96:9d:65:76:8e,-86,5500,[WPA2-PSK-CCMP][ESS],0

286,mfold-dlink,00:26:5a:a9:99:46,-59,2447,[WPA2-PSK-CCMP][WPS][ESS],0

286,sape,20:c9:d0:18:43:f3,-81,2412,[WPA2-PSK-CCMP][ESS],0

286,sape,20:c9:d0:18:43:f4,-80,5540,[WPA2-PSK-CCMP][ESS],0

286,C150BRS4,00:22:f7:20:a1:98,-72,2412,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],0

286,mfold-linksys,00:25:9c:ca:87:ee,-64,2447,[WPA2-PSK-CCMP][WPS][ESS],0

286,P2PROSHANGUPTA-PC,78:e4:00:dc:ca:0e,-89,2462,[WPA2-PSK-CCMP][ESS],0

286,Conferentie-TUD,b8:be:bf:b7:7c:46,-80,2462,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

286,tudelft-dastud,b8:be:bf:b7:7c:44,-81,2462,[WPA2-EAP-CCMP][ESS],0

286,Conferentie-TUD,1c:aa:07:7b:28:06,-79,2412,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

286,eduroam,b8:be:bf:b7:7c:40,-80,2462,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

286,,00:19:aa:76:70:00,-91,2412,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],0

286,Ahmed’s MacBook Pro,20:c9:d0:b8:05:67,-92,2462,[WPA2-PSK-CCMP][ESS],0

286,TUvisitor,b8:be:bf:b7:7c:43,-80,2462,[ESS],0

287,Conferentie-TUD,00:1b:90:76:d3:f9,-51,5680,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

287,tudelft-dastud,00:1b:90:76:d3:fb,-51,5680,[WPA2-EAP-CCMP][ESS],0

287,eduroam,00:1b:90:76:d3:ff,-51,5680,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

287,Conferentie-TUD,00:1b:90:76:d3:f6,-66,2412,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

287,tudelft-dastud,00:1b:90:76:d3:f4,-66,2412,[WPA2-EAP-CCMP][ESS],0

287,eduroam,00:1b:90:76:d3:f0,-60,2412,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

287,P2P-Next,5c:d9:98:e3:e6:c4,-89,2437,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],0

287,SLDE-™-2,5c:96:9d:65:76:8d,-83,2462,[WPA2-PSK-CCMP][ESS],0

287,TUvisitor,00:1b:90:76:d3:fc,-51,5680,[ESS],0

287,TUvisitor,00:1b:90:76:d3:f3,-66,2412,[ESS],0

287,SLDE-™-2 5GHz,5c:96:9d:65:76:8e,-86,5500,[WPA2-PSK-CCMP][ESS],0

287,mfold-dlink,00:26:5a:a9:99:46,-59,2447,[WPA2-PSK-CCMP][WPS][ESS],0

287,sape,20:c9:d0:18:43:f3,-81,2412,[WPA2-PSK-CCMP][ESS],0

287,sape,20:c9:d0:18:43:f4,-80,5540,[WPA2-PSK-CCMP][ESS],0

287,C150BRS4,00:22:f7:20:a1:98,-72,2412,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],0

287,mfold-linksys,00:25:9c:ca:87:ee,-64,2447,[WPA2-PSK-CCMP][WPS][ESS],0

287,P2PROSHANGUPTA-PC,78:e4:00:dc:ca:0e,-89,2462,[WPA2-PSK-CCMP][ESS],0

287,Conferentie-TUD,b8:be:bf:b7:7c:46,-80,2462,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

287,tudelft-dastud,b8:be:bf:b7:7c:44,-81,2462,[WPA2-EAP-CCMP][ESS],0

287,Conferentie-TUD,1c:aa:07:7b:28:06,-79,2412,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

287,eduroam,b8:be:bf:b7:7c:40,-80,2462,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

287,,00:19:aa:76:70:00,-91,2412,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],0

287,Ahmed’s MacBook Pro,20:c9:d0:b8:05:67,-92,2462,[WPA2-PSK-CCMP][ESS],0

287,TUvisitor,b8:be:bf:b7:7c:43,-80,2462,[ESS],0

288,Conferentie-TUD,00:1b:90:76:d3:f9,-51,5680,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

288,tudelft-dastud,00:1b:90:76:d3:fb,-51,5680,[WPA2-EAP-CCMP][ESS],0

288,eduroam,00:1b:90:76:d3:ff,-51,5680,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

288,Conferentie-TUD,00:1b:90:76:d3:f6,-66,2412,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

288,tudelft-dastud,00:1b:90:76:d3:f4,-66,2412,[WPA2-EAP-CCMP][ESS],0

288,eduroam,00:1b:90:76:d3:f0,-60,2412,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

288,P2P-Next,5c:d9:98:e3:e6:c4,-89,2437,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],0

288,SLDE-™-2,5c:96:9d:65:76:8d,-83,2462,[WPA2-PSK-CCMP][ESS],0

288,TUvisitor,00:1b:90:76:d3:fc,-51,5680,[ESS],0

288,TUvisitor,00:1b:90:76:d3:f3,-66,2412,[ESS],0

288,SLDE-™-2 5GHz,5c:96:9d:65:76:8e,-86,5500,[WPA2-PSK-CCMP][ESS],0

288,mfold-dlink,00:26:5a:a9:99:46,-59,2447,[WPA2-PSK-CCMP][WPS][ESS],0

288,sape,20:c9:d0:18:43:f3,-81,2412,[WPA2-PSK-CCMP][ESS],0

288,sape,20:c9:d0:18:43:f4,-80,5540,[WPA2-PSK-CCMP][ESS],0

288,C150BRS4,00:22:f7:20:a1:98,-72,2412,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],0

288,mfold-linksys,00:25:9c:ca:87:ee,-64,2447,[WPA2-PSK-CCMP][WPS][ESS],0

288,P2PROSHANGUPTA-PC,78:e4:00:dc:ca:0e,-89,2462,[WPA2-PSK-CCMP][ESS],0

288,Conferentie-TUD,b8:be:bf:b7:7c:46,-80,2462,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

288,tudelft-dastud,b8:be:bf:b7:7c:44,-81,2462,[WPA2-EAP-CCMP][ESS],0

288,Conferentie-TUD,1c:aa:07:7b:28:06,-79,2412,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

288,eduroam,b8:be:bf:b7:7c:40,-80,2462,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

288,,00:19:aa:76:70:00,-91,2412,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],0

288,Ahmed’s MacBook Pro,20:c9:d0:b8:05:67,-92,2462,[WPA2-PSK-CCMP][ESS],0

288,TUvisitor,b8:be:bf:b7:7c:43,-80,2462,[ESS],0

289,Conferentie-TUD,00:1b:90:76:d3:f9,-51,5680,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

289,tudelft-dastud,00:1b:90:76:d3:fb,-51,5680,[WPA2-EAP-CCMP][ESS],0

289,eduroam,00:1b:90:76:d3:ff,-51,5680,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

289,Conferentie-TUD,00:1b:90:76:d3:f6,-66,2412,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

289,tudelft-dastud,00:1b:90:76:d3:f4,-66,2412,[WPA2-EAP-CCMP][ESS],0

289,eduroam,00:1b:90:76:d3:f0,-60,2412,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

289,P2P-Next,5c:d9:98:e3:e6:c4,-89,2437,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],0

289,SLDE-™-2,5c:96:9d:65:76:8d,-83,2462,[WPA2-PSK-CCMP][ESS],0

289,TUvisitor,00:1b:90:76:d3:fc,-51,5680,[ESS],0

289,TUvisitor,00:1b:90:76:d3:f3,-66,2412,[ESS],0

289,SLDE-™-2 5GHz,5c:96:9d:65:76:8e,-86,5500,[WPA2-PSK-CCMP][ESS],0

289,mfold-dlink,00:26:5a:a9:99:46,-59,2447,[WPA2-PSK-CCMP][WPS][ESS],0

289,sape,20:c9:d0:18:43:f3,-81,2412,[WPA2-PSK-CCMP][ESS],0

289,sape,20:c9:d0:18:43:f4,-80,5540,[WPA2-PSK-CCMP][ESS],0

289,C150BRS4,00:22:f7:20:a1:98,-72,2412,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],0

289,mfold-linksys,00:25:9c:ca:87:ee,-64,2447,[WPA2-PSK-CCMP][WPS][ESS],0

289,P2PROSHANGUPTA-PC,78:e4:00:dc:ca:0e,-89,2462,[WPA2-PSK-CCMP][ESS],0

289,Conferentie-TUD,b8:be:bf:b7:7c:46,-80,2462,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

289,tudelft-dastud,b8:be:bf:b7:7c:44,-81,2462,[WPA2-EAP-CCMP][ESS],0

289,Conferentie-TUD,1c:aa:07:7b:28:06,-79,2412,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

289,eduroam,b8:be:bf:b7:7c:40,-80,2462,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

289,,00:19:aa:76:70:00,-91,2412,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],0

289,Ahmed’s MacBook Pro,20:c9:d0:b8:05:67,-92,2462,[WPA2-PSK-CCMP][ESS],0

289,TUvisitor,b8:be:bf:b7:7c:43,-80,2462,[ESS],0

290,Conferentie-TUD,00:1b:90:76:d3:f9,-61,5680,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

290,tudelft-dastud,00:1b:90:76:d3:fb,-61,5680,[WPA2-EAP-CCMP][ESS],0

290,eduroam,00:1b:90:76:d3:ff,-62,5680,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

290,Conferentie-TUD,00:1b:90:76:d3:f6,-49,2412,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

290,tudelft-dastud,00:1b:90:76:d3:f4,-49,2412,[WPA2-EAP-CCMP][ESS],0

290,eduroam,00:1b:90:76:d3:f0,-49,2412,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

290,P2P-Next,5c:d9:98:e3:e6:c4,-87,2437,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],0

290,SLDE-™-2,5c:96:9d:65:76:8d,-82,2462,[WPA2-PSK-CCMP][ESS],0

290,TUvisitor,00:1b:90:76:d3:fc,-62,5680,[ESS],0

290,TUvisitor,00:1b:90:76:d3:f3,-49,2412,[ESS],0

290,SLDE-™-2 5GHz,5c:96:9d:65:76:8e,-86,5500,[WPA2-PSK-CCMP][ESS],0

290,mfold-dlink,00:26:5a:a9:99:46,-56,2447,[WPA2-PSK-CCMP][WPS][ESS],0

290,sape,20:c9:d0:18:43:f3,-80,2412,[WPA2-PSK-CCMP][ESS],0

