SampleID ,SSID,BSSID,level,frequency,Capabilities,describeContents
1,Conferentie-TUD,00:1b:90:76:d3:f9,-74,5680,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

1,tudelft-dastud,00:1b:90:76:d3:fb,-74,5680,[WPA2-EAP-CCMP][ESS],0

1,eduroam,00:1b:90:76:d3:ff,-74,5680,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

1,Conferentie-TUD,00:1b:90:76:d3:f6,-70,2412,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

1,tudelft-dastud,00:1b:90:76:d3:f4,-70,2412,[WPA2-EAP-CCMP][ESS],0

1,eduroam,00:1b:90:76:d3:f0,-62,2412,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

1,SLDE-™-2,5c:96:9d:65:76:8d,-88,2462,[WPA2-PSK-CCMP][ESS],0

1,TUvisitor,00:1b:90:76:d3:fc,-74,5680,[ESS],0

1,TUvisitor,00:1b:90:76:d3:f3,-76,2412,[ESS],0

1,mfold-dlink,00:26:5a:a9:99:46,-71,2447,[WPA2-PSK-CCMP][WPS][ESS],0

1,sape,20:c9:d0:18:43:f3,-90,2412,[WPA2-PSK-CCMP][ESS],0

1,C150BRS4,00:22:f7:20:a1:98,-76,2412,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],0

1,mfold-linksys,00:25:9c:ca:87:ee,-79,2447,[WPA2-PSK-CCMP][WPS][ESS],0

1,Conferentie-TUD,1c:aa:07:7b:28:09,-78,5220,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

1,P2P-Next,5c:d9:98:e3:e6:c4,-90,2437,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],0

1,TUvisitor,1c:aa:07:7b:28:03,-75,2412,[ESS],0

1,tudelft-dastud,1c:aa:07:7b:28:0b,-82,5220,[WPA2-EAP-CCMP][ESS],0

1,Conferentie-TUD,1c:aa:07:7b:28:06,-75,2412,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

1,eduroam,1c:aa:07:7b:28:00,-76,2412,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

1,tudelft-dastud,d8:24:bd:4f:cf:14,-82,2412,[WPA2-EAP-CCMP][ESS],0

1,TUvisitor,1c:aa:07:7b:28:0c,-80,5220,[ESS],0

2,Conferentie-TUD,00:1b:90:76:d3:f9,-74,5680,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

2,tudelft-dastud,00:1b:90:76:d3:fb,-74,5680,[WPA2-EAP-CCMP][ESS],0

2,eduroam,00:1b:90:76:d3:ff,-74,5680,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

