SampleID ,SSID,BSSID,level,frequency,Capabilities,describeContents
273,Conferentie-TUD,00:1b:90:76:d3:f9,-86,5680,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

273,tudelft-dastud,00:1b:90:76:d3:fb,-86,5680,[WPA2-EAP-CCMP][ESS],0

273,TUvisitor,00:1b:90:76:d3:fc,-86,5680,[ESS],0

273,eduroam,00:1b:90:76:d3:ff,-84,5680,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

273,P2PROSHANGUPTA-PC,78:e4:00:dc:ca:0e,-66,2462,[WPA2-PSK-CCMP][ESS],0

273,SLDE-™-2,5c:96:9d:65:76:8d,-70,2462,[WPA2-PSK-CCMP][ESS],0

273,P2P-Next,5c:d9:98:e3:e6:c4,-73,2437,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],0

273,SLDE-™-2 5GHz,5c:96:9d:65:76:8e,-76,5500,[WPA2-PSK-CCMP][ESS],0

273,Conferentie-TUD,1c:aa:07:7b:39:16,-59,2412,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

273,Conferentie-TUD,1c:aa:07:6e:31:a9,-65,5220,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

273,Conferentie-TUD,1c:aa:07:6e:31:a6,-62,2462,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

273,Conferentie-TUD,1c:aa:07:7b:39:19,-70,5300,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

273,TUvisitor,1c:aa:07:6e:31:ac,-65,5220,[ESS],0

273,eduroam,1c:aa:07:6e:31:af,-65,5220,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

273,tudelft-dastud,1c:aa:07:6e:31:ab,-64,5220,[WPA2-EAP-CCMP][ESS],0

273,tudelft-dastud,1c:aa:07:7b:39:1b,-71,5300,[WPA2-EAP-CCMP][ESS],0

273,Conferentie-TUD,1c:aa:07:7b:37:06,-74,2437,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

273,eduroam,1c:aa:07:7b:39:1f,-70,5300,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

273,sape,20:c9:d0:18:43:f3,-93,2412,[WPA2-PSK-CCMP][ESS],0

273,Korvezee49,6c:fd:b9:4b:ea:3c,-88,2452,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],0

273,TUvisitor,1c:aa:07:7b:39:1c,-70,5300,[ESS],0

273,TUvisitor,1c:aa:07:7b:39:13,-64,2412,[ESS],0

273,TUvisitor,00:1b:90:76:d3:f3,-78,2412,[ESS],0

273,mfold-dlink,00:26:5a:a9:99:46,-86,2447,[WPA2-PSK-CCMP][WPS][ESS],0

273,tudelft-dastud,00:1b:90:76:d3:f4,-79,2412,[WPA2-EAP-CCMP][ESS],0

273,mfold-linksys,00:25:9c:ca:87:ee,-87,2447,[WPA2-PSK-CCMP][WPS][ESS],0

273,eduroam,1c:aa:07:7b:39:10,-60,2412,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

273,Conferentie-TUD,24:01:c7:76:2a:36,-85,2437,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

273,TUvisitor,1c:aa:07:7b:37:03,-77,2437,[ESS],0

273,TarValon,58:6d:8f:cb:2d:e0,-90,2412,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],0

273,tudelft-dastud,1c:aa:07:7b:39:14,-62,2412,[WPA2-EAP-CCMP][ESS],0

273,Router_Joost,48:f8:b3:40:f1:a9,-87,2412,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],0

273,tudelft-dastud,1c:aa:07:6e:31:a4,-62,2462,[WPA2-EAP-CCMP][ESS],0

273,eduroam,00:1b:90:76:d3:f0,-79,2412,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

273,SANDER,1c:af:f7:18:0e:4a,-92,2437,[WPA2-PSK-CCMP][ESS],0

273,tudelft-dastud,1c:aa:07:7b:37:04,-76,2437,[WPA2-EAP-CCMP][ESS],0

273,eduroam,1c:aa:07:7b:37:00,-74,2437,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

273,Conferentie-TUD,00:1b:90:76:d3:f6,-79,2412,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

273,,00:19:aa:76:70:00,-92,2412,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],0

273,Conferentie-TUD,1c:aa:07:7b:37:09,-85,5220,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

273,FlyingBlues,d4:ca:6d:98:ed:ea,-86,2447,[WPA2-PSK-CCMP][ESS],0

273,PANINVEST,88:dc:96:10:cc:80,-90,2462,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],0

273,VGV7519F470E4,88:03:55:f4:70:e4,-90,2422,[WPA2-PSK-CCMP][WPS][ESS],0

273,ANNANetwork,6c:fd:b9:4b:db:26,-91,2442,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],0

273,TUvisitor,24:01:c7:76:2a:33,-84,2437,[ESS],0

273,7inova_003138,04:84:8a:00:31:38,-88,2437,[WPS][ESS],0

273,Conferentie-TUD,24:01:c7:76:2a:39,-86,5260,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

273,tudelft-dastud,24:01:c7:76:2a:3b,-87,5260,[WPA2-EAP-CCMP][ESS],0

273,SitecomC2D19C,00:0c:f6:c2:d1:9c,-85,2462,[WPA2-PSK-CCMP][WPS][ESS],0

273,TP-LINK_rabbit_he,10:fe:ed:dd:5a:36,-89,2452,[WPA2-PSK-CCMP][WPS][ESS],0

274,Conferentie-TUD,00:1b:90:76:d3:f9,-86,5680,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

274,tudelft-dastud,00:1b:90:76:d3:fb,-86,5680,[WPA2-EAP-CCMP][ESS],0

274,TUvisitor,00:1b:90:76:d3:fc,-86,5680,[ESS],0

274,eduroam,00:1b:90:76:d3:ff,-84,5680,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

274,P2PROSHANGUPTA-PC,78:e4:00:dc:ca:0e,-66,2462,[WPA2-PSK-CCMP][ESS],0

274,SLDE-™-2,5c:96:9d:65:76:8d,-70,2462,[WPA2-PSK-CCMP][ESS],0

274,P2P-Next,5c:d9:98:e3:e6:c4,-73,2437,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],0

274,SLDE-™-2 5GHz,5c:96:9d:65:76:8e,-76,5500,[WPA2-PSK-CCMP][ESS],0

274,Conferentie-TUD,1c:aa:07:7b:39:16,-59,2412,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

274,Conferentie-TUD,1c:aa:07:6e:31:a9,-65,5220,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

274,Conferentie-TUD,1c:aa:07:6e:31:a6,-62,2462,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

274,Conferentie-TUD,1c:aa:07:7b:39:19,-70,5300,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

274,TUvisitor,1c:aa:07:6e:31:ac,-65,5220,[ESS],0

274,eduroam,1c:aa:07:6e:31:af,-65,5220,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

274,tudelft-dastud,1c:aa:07:6e:31:ab,-64,5220,[WPA2-EAP-CCMP][ESS],0

274,tudelft-dastud,1c:aa:07:7b:39:1b,-71,5300,[WPA2-EAP-CCMP][ESS],0

274,Conferentie-TUD,1c:aa:07:7b:37:06,-74,2437,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

274,eduroam,1c:aa:07:7b:39:1f,-70,5300,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

274,sape,20:c9:d0:18:43:f3,-93,2412,[WPA2-PSK-CCMP][ESS],0

274,Korvezee49,6c:fd:b9:4b:ea:3c,-88,2452,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],0

274,TUvisitor,1c:aa:07:7b:39:1c,-70,5300,[ESS],0

274,TUvisitor,1c:aa:07:7b:39:13,-64,2412,[ESS],0

274,TUvisitor,00:1b:90:76:d3:f3,-78,2412,[ESS],0

274,mfold-dlink,00:26:5a:a9:99:46,-86,2447,[WPA2-PSK-CCMP][WPS][ESS],0

274,tudelft-dastud,00:1b:90:76:d3:f4,-79,2412,[WPA2-EAP-CCMP][ESS],0

274,mfold-linksys,00:25:9c:ca:87:ee,-87,2447,[WPA2-PSK-CCMP][WPS][ESS],0

274,eduroam,1c:aa:07:7b:39:10,-60,2412,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

274,Conferentie-TUD,24:01:c7:76:2a:36,-85,2437,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

274,TUvisitor,1c:aa:07:7b:37:03,-77,2437,[ESS],0

274,TarValon,58:6d:8f:cb:2d:e0,-90,2412,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],0

274,tudelft-dastud,1c:aa:07:7b:39:14,-62,2412,[WPA2-EAP-CCMP][ESS],0

274,Router_Joost,48:f8:b3:40:f1:a9,-87,2412,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],0

274,tudelft-dastud,1c:aa:07:6e:31:a4,-62,2462,[WPA2-EAP-CCMP][ESS],0

274,eduroam,00:1b:90:76:d3:f0,-79,2412,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

274,SANDER,1c:af:f7:18:0e:4a,-92,2437,[WPA2-PSK-CCMP][ESS],0

274,tudelft-dastud,1c:aa:07:7b:37:04,-76,2437,[WPA2-EAP-CCMP][ESS],0

274,eduroam,1c:aa:07:7b:37:00,-74,2437,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

274,Conferentie-TUD,00:1b:90:76:d3:f6,-79,2412,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

274,,00:19:aa:76:70:00,-92,2412,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],0

274,Conferentie-TUD,1c:aa:07:7b:37:09,-85,5220,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

274,FlyingBlues,d4:ca:6d:98:ed:ea,-86,2447,[WPA2-PSK-CCMP][ESS],0

274,PANINVEST,88:dc:96:10:cc:80,-90,2462,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],0

274,VGV7519F470E4,88:03:55:f4:70:e4,-90,2422,[WPA2-PSK-CCMP][WPS][ESS],0

274,ANNANetwork,6c:fd:b9:4b:db:26,-91,2442,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],0

274,TUvisitor,24:01:c7:76:2a:33,-84,2437,[ESS],0

274,7inova_003138,04:84:8a:00:31:38,-88,2437,[WPS][ESS],0

274,Conferentie-TUD,24:01:c7:76:2a:39,-86,5260,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

274,tudelft-dastud,24:01:c7:76:2a:3b,-87,5260,[WPA2-EAP-CCMP][ESS],0

274,SitecomC2D19C,00:0c:f6:c2:d1:9c,-85,2462,[WPA2-PSK-CCMP][WPS][ESS],0

274,TP-LINK_rabbit_he,10:fe:ed:dd:5a:36,-89,2452,[WPA2-PSK-CCMP][WPS][ESS],0

275,Conferentie-TUD,00:1b:90:76:d3:f9,-86,5680,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

275,tudelft-dastud,00:1b:90:76:d3:fb,-86,5680,[WPA2-EAP-CCMP][ESS],0

275,TUvisitor,00:1b:90:76:d3:fc,-86,5680,[ESS],0

275,eduroam,00:1b:90:76:d3:ff,-84,5680,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

275,P2PROSHANGUPTA-PC,78:e4:00:dc:ca:0e,-66,2462,[WPA2-PSK-CCMP][ESS],0

275,SLDE-™-2,5c:96:9d:65:76:8d,-70,2462,[WPA2-PSK-CCMP][ESS],0

275,P2P-Next,5c:d9:98:e3:e6:c4,-73,2437,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],0

275,SLDE-™-2 5GHz,5c:96:9d:65:76:8e,-76,5500,[WPA2-PSK-CCMP][ESS],0

